lengow_log.error.no_order_notification|Keine neue Benachrichtigung zur Bestellung
lengow_log.error.nb_order_imported|%{nb_order} Bestellung(en) importiert
lengow_log.error.nb_order_updated|%{nb_order} Bestellung(en) aktualisiert
lengow_log.error.nb_order_with_error|%{nb_order} Bestellung(en) mit Fehlern
lengow_log.error.no_action_notification|Keine neue Benachrichtigung zur Aktion
lengow_log.error.nb_action_success|%{nb_action} Aktion(en) erfolgreich gesendet
lengow_log.error.nb_action_error|%{nb_action} durch einen Fehler blockierte Aktion(en)
lengow_log.error.rest_time_to_import|Bitte warten Sie %{rest_time} Sekunden, bevor Sie Ihre Bestellungen erneut synchronisieren
lengow_log.error.credentials_not_valid|Konto-Nr., Access-Token oder Access-Token-Secret ungültig
lengow_log.error.no_catalog_for_sales_channel|Keine gültige Katalog-Nr. für den sales channel %{sales_channel_name} (%{sales_channel_id})
lengow_log.error.order_not_found|Fehler Lengow: Bestellung kann in Lengow nicht gefunden werden
lengow_log.error.no_product|Fehler Lengow: keine Produkte in der Bestellung
lengow_log.error.no_change_rate|Fehler Lengow: kein Wechselkurs für Bestellwert verfügbar
lengow_log.error.no_currency|Fehler Lengow: keine Währung in der Bestellung
lengow_log.error.currency_not_available|währung %{currency_iso} in Ihrem Shop nicht verfügbar
lengow_log.error.no_billing_address|Fehler Lengow: keine Rechnungsaddresse in der Bestellung
lengow_log.error.no_country_for_billing_address|Fehler Lengow: Rechnungsadresse enthält kein Land
lengow_log.error.no_country_for_delivery_address|Fehler Lengow: Lieferaddresse enthält kein Land
lengow_log.exception.no_connection_webservice|Verbindung mit dem Lengow Webservice im sales channel %{sales_channel_name} (%{sales_channel_id}) hat nicht funktioniert.
lengow_log.exception.error_lengow_webservice|Lengow Webservice : %{error_code} - "%{error_message}" auf sales channel %{sales_channel_name} (%{sales_channel_id})
lengow_log.exception.marketplace_not_present|Lengow Fehler: %{marketplace_name} erscheint nicht in der Marketplace-Liste
lengow_log.exception.order_line_required|Erforderliche Bestellzeile kann in der Bestellung nicht gefunden werden
lengow_log.exception.action_not_valid|aktion %{action} ist ungültig
lengow_log.exception.marketplace_action_not_present|die Marktplatzaktion %{action} ist nicht vorhanden
lengow_log.exception.marketplace_sku_require|die Marktplatz-Orderreferenz ist erforderlich
lengow_log.exception.marketplace_name_require|Marktplatzname ist erforderlich
lengow_log.exception.arg_is_required|Aktion nicht ausführbar: %{arg_name} ist erforderlich
lengow_log.exception.action_not_created|Aktion kann nicht erstellt werden: %{error_message}
lengow_log.exception.action_not_created_api|Aktion kann nicht erstellt werden, da die Lengow-API nicht verfügbar ist. Bitte erneut versuchen
lengow_log.exception.action_is_too_old|Bestellungsaktion ist zu alt. Bitte erneut versuchen
lengow_log.exception.no_product_to_cart|Es befinden sich kein Produkt im Warenkorb
lengow_log.exception.product_is_a_parent|produkt %{product_number} (%{product_id})} ist ein Hauptartikel. Bitte Varianten angeben
lengow_log.exception.no_quantity_for_product|Produkt %{product_number} (%{product_id}) konnte nicht in den Warenkorb gelegt werden. Stellen Sie sicher, dass es auf Bestellung verfügbar ist oder dass genügend Artikel auf Lager sind
lengow_log.exception.product_not_be_found|produkt %{product_id} konnte nicht gefunden werden.
lengow_log.exception.country_not_found|Kein Land für ISO-Code %{iso_code} gefunden. Bitte fügen Sie es Ihrer Shopware Konfiguration hinzu
lengow_log.exception.salutation_not_found|In unserem System wurde keine Anrede gefunden. Bitte fügen Sie es Ihrer Shopware Konfiguration hinzu
lengow_log.exception.shopware_customer_not_saved|VORSICHT! Kunde konnte NICHT in der Shopware Datenbank gespeichert werden
lengow_log.exception.shopware_order_not_saved|VORSICHT! Bestellung konnte NICHT in der Shopware Datenbank gespeichert werden
lengow_log.mail_report.subject_report_mail|Lengow Importfehler
lengow_log.mail_report.order|Bestellungen %{marketplace_sku}
lengow_log.mail_report.no_error_in_report_mail|Keine Fehlermeldung, kontaktieren Sie den Support unter https://supportlengow.zendesk.com/agent/
lengow_log.connection.status_draft|Vorlage
lengow_log.connection.status_active|Aktiv
lengow_log.connection.catalog|Katalog %{catalog_id}
lengow_log.connection.catalog_label|%{catalog_id} - %{catalog_name} - %{nb_products} produkte - %{catalog_status}
