lengow_log.error.no_order_notification|No new notification on order
lengow_log.error.nb_order_imported|%{nb_order} order(s) imported
lengow_log.error.nb_order_updated|%{nb_order} order(s) updated
lengow_log.error.nb_order_with_error|%{nb_order} order(s) with errors
lengow_log.error.no_action_notification|No new notification on action
lengow_log.error.nb_action_success|%{nb_action} action(s) successfully sent
lengow_log.error.nb_action_error|%{nb_action} action(s) blocked by an error
lengow_log.error.rest_time_to_import|Please wait %{rest_time} seconds before syncing your orders again
lengow_log.error.credentials_not_valid|Account ID, token access or secret token are not valid
lengow_log.error.no_catalog_for_sales_channel|No catalogue ID valid for the sales channel %{sales_channel_name} (%{sales_channel_id})
lengow_log.error.order_not_found|Lengow error: order cannot be found in Lengow feed
lengow_log.error.no_product|Lengow error: no product in the order
lengow_log.error.no_change_rate|Lengow error: no exchange rates available for order prices
lengow_log.error.no_currency|Lengow error: no currency in the order
lengow_log.error.currency_not_available|the %{currency_iso} currency is not available in your shop
lengow_log.error.no_billing_address|Lengow error: no billing address in the order
lengow_log.error.no_country_for_billing_address|Lengow error: billing address doesn't contain the country
lengow_log.error.no_country_for_delivery_address|Lengow error: delivery address doesn't contain the country
lengow_log.exception.no_connection_webservice|connection did not work with the Lengow webservice in sales channel %{sales_channel_name} (%{sales_channel_id})
lengow_log.exception.error_lengow_webservice|Lengow webservice: %{error_code} - "%{error_message}" in sales channel %{sales_channel_name} (%{sales_channel_id})
lengow_log.exception.marketplace_not_present|Lengow error: %{marketplace_name} does not feature in the marketplace list
lengow_log.exception.order_line_required|order line is required but cannot be not found in order
lengow_log.exception.action_not_valid|action %{action} is not valid
lengow_log.exception.marketplace_action_not_present|marketplace actions %{action} are not present
lengow_log.exception.marketplace_sku_require|marketplace order reference is required
lengow_log.exception.marketplace_name_require|marketplace name is required
lengow_log.exception.arg_is_required|can't send action: %{arg_name} is required
lengow_log.exception.action_not_created|can't create action: %{error_message}
lengow_log.exception.action_not_created_api|can't create action because Lengow API is unavailable. Please retry
lengow_log.exception.action_is_too_old|order action is too old. Please retry
lengow_log.exception.no_product_to_cart|no product to be added to cart
lengow_log.exception.product_is_a_parent|product %{product_number} (%{product_id}) is a parent. Product variation is needed
lengow_log.exception.no_quantity_for_product|product %{product_number} (%{product_id}) could not be added to cart. Make sure it is available to order or that there is enough in stock
lengow_log.exception.product_not_be_found|product %{product_id} could not be found
lengow_log.exception.country_not_found|No country found for ISO code %{iso_code}. Please add it into your Shopware configuration
lengow_log.exception.salutation_not_found|No salutation found in our system. Please add it into your Shopware configuration
lengow_log.exception.shopware_customer_not_saved|WARNING! Customer could NOT be saved in Shopware user table
lengow_log.exception.shopware_order_not_saved|WARNING! Order could NOT be saved in Shopware order table
lengow_log.exception.not_provided|Not provided by the marketplace
lengow_log.mail_report.subject_report_mail|Lengow imports errors
lengow_log.mail_report.order|Order %{marketplace_sku}
lengow_log.mail_report.no_error_in_report_mail|no error message, contact support via %{support_link}
lengow_log.connection.status_draft|Draft
lengow_log.connection.status_active|Active
lengow_log.connection.catalog|Catalogue %{catalog_id}
lengow_log.connection.catalog_label|%{catalog_id} - %{catalog_name} - %{nb_products} products - %{catalog_status}
log.connection.cms_creation_success|CMS successfully created with Lengow webservice (CMS token %{cms_token})
log.connection.cms_creation_failed|WARNING! CMS could NOT be created with Lengow webservice (CMS token %{cms_token})
log.connection.cms_already_exist|CMS already created in Lengow (CMS token %{cms_token})
log.connection.try_link_catalog|try to associate catalogue IDs %{catalog_ids} to the shop (SHOP token %{shop_token}) for the sales channel ID %{sales_channel_id}
log.connection.link_catalog_success|catalogues successfully linked with Lengow webservice
log.connection.link_catalog_failed|WARNING! catalogues could NOT be linked with Lengow webservice
log.export.unauthorised_ip|Unauthorized access for IP: %{ip}
log.export.unauthorised_token|Unauthorised access for this token: %{token}
log.export.empty_token|Unauthorised access: token parameter is empty
log.export.specify_sales_channel|No sales channel specified or invalid sales channel uuid
log.export.specify_language_shipping_and_currency|No language, shipping method or currency found for sales channel %{sales_channel_name}
log.export.start|## start %{type} export ##
log.export.end|## end %{type} export ##
log.export.start_for_sales_channel|Start export for sales channel %{sales_channel_name} (%{sales_channel_id})
log.export.feed_already_launch|feed already launched
log.export.nb_product_found|%{nb_products} product(s) found
log.export.language_used|Language used for export: %{language_name}
log.export.default_language_used|Requested Language was not found, sales channel default language used for export: %{language_name}
log.export.currency_used|Currency used for export: %{currency_name}
log.export.default_currency_used|Requested currency was not found, sales channel default currency used for export: %{currency_name}
log.export.shipping_method_used|Shipping method used for export: %{shipping_method_name}
log.export.default_shipping_method_used|Requested shipping method not found, sales channel default shipping method used for export: %{shipping_method_name}
log.export.category_not_found|No main entry point category found for sales channel
log.export.count_product|%{nb_products} product(s) exported
log.export.total_product_exported|%{nb_products} product(s) to export, %{nb_products_children} children product(s), %{nb_products_parent} parent product(s) and %{nb_products_simple} simple product(s)
log.export.export_failed|export failed - %{decoded_message}
log.export.memory_usage|memory usage: %{memory} Mb
log.export.execution_time|execution time: %{time} seconds
log.export.generate_feed_available_here|the export for the sales channel %{sales_channel_name} generated the following file: %{link_file_export}
log.export.error_configurable_product_disabled|WARNING! %{nb_child} children product(s) associated with parents products are disabled
log.export.error_folder_not_created_or_writable|unable to create or access export folder (Lengow/Export)
log.export.error_unable_to_create_folder|unable to create folder %{folder_path}. Make sure it is writable
log.import.not_valid_action|Action: %{action} is not a valid action
log.import.debug_mode_active|WARNING! Debug Mode is activated
log.import.start|## start %{type} import ##
log.import.end|## end %{type} import ##
log.import.import_failed|import failed - %{decoded_message}
log.import.start_for_sales_channel|start import in sales channel %{sales_channel_name} (%{sales_channel_id})
log.import.catalog_id_already_used|catalog ID %{catalog_id} is already used by sales channel %{sales_channel_name} (%{sales_channel_id})
log.import.find_one_order|%{nb_order} order found for order ID: %{marketplace_sku} and marketplace: %{marketplace_name} with account ID: %{account_id}
log.import.find_all_orders|%{nb_order} order(s) found for sales channel %{sales_channel_name} (%{sales_channel_id})
log.import.sync_result|%{number_orders_processed} orders processed, %{number_orders_created} created, %{number_orders_updated} updated, %{number_orders_failed} failed, %{number_orders_ignored} ignored and %{number_orders_not_formatted} not formatted
log.import.connector_get_order|get order with order ID: %{marketplace_sku} and marketplace: %{marketplace_name}
log.import.connector_get_all_order|get orders between %{date_from} and %{date_to} for catalogs ID: %{catalog_id}
log.import.marketplace_update_failed|marketplace update failed - %{decoded_message}
log.import.error_no_package|import order failed - Lengow error: no package in the order
log.import.error_wrong_package_number|import order failed - wrong package number
log.import.error_no_delivery_address|import order failed - Lengow error: no delivery address in the order
log.import.error_already_created|%{decoded_message} (created on the %{date_message})
log.import.order_already_imported|order already imported (ORDER ID %{order_id})
log.import.order_ready_to_reimport|order ready to be re-imported (ORDER ID %{order_id})
log.import.order_state_updated|order's status has been updated to %{state_name}
log.import.order_import_failed|import order failed - %{decoded_message}
log.import.anonymized_order|order is anonymized and has not been imported
log.import.old_order|Order is older than 3 months and has not been imported
log.import.external_id_exist|already imported in Shopware with the order ID %{order_id}
