settings.lengow_main_settings.label|Paramètres principaux
settings.lengow_main_settings.description|Vous trouverez ci-dessous vos identifiants de connexion à Lengow.<br />Les ID Lengow, Access Token et Secret Token sont automatiquement complétés lors de votre première connexion : veuillez à ne pas les modifier.
settings.lengow_main_settings.account.label|ID du compte
settings.lengow_main_settings.account.description|Votre ID de compte Lengow. Veuillez ne pas le modifier.
settings.lengow_main_settings.access.label|Access Token
settings.lengow_main_settings.access.description|Votre Access Token. Veuillez ne pas le modifier.
settings.lengow_main_settings.secret.label|Secret Token
settings.lengow_main_settings.secret.description|Votre Secret Token. Veuillez ne pas le modifier.
settings.lengow_main_settings.enable.label|Activer la boutique
settings.lengow_main_settings.enable.description|Activer la boutique pour la connecter à la plateforme Lengow
settings.lengow_main_settings.catalog.label|Catalogues ID
settings.lengow_main_settings.catalog.description|Vos ID catalogues pour importer les commandes.<br />Séparez-les par des ' ; '
settings.lengow_main_settings.ip_enable.label|Activer l'autorisation par IP
settings.lengow_main_settings.ip_enable.description|Activez cette option si vous voulez sécuriser votre export par ip. Par défaut, votre export est sécurisé par une clé unique.
settings.lengow_main_settings.ip.label|IP autorisée(s)
settings.lengow_main_settings.ip.description|IP autorisée(s) à accéder à votre flux d'export.<br />Séparez-les par ' ; '
settings.lengow_main_settings.tracking_enable.label|Activer le tracker Lengow
settings.lengow_main_settings.tracking_enable.description|Ce tracker vous permet de récupérer les statistiques de commandes de votre site directement sur la plateforme Lengow.
settings.lengow_main_settings.tracking_id.label|Tracker ID produit
settings.lengow_main_settings.tracking_id.description|Le nom de l'identifiant unique indiqué dans Lengow
settings.lengow_export_settings.label|Paramètres d'export
settings.lengow_export_settings.description|Définissez les paramètres pour créer votre flux.
settings.lengow_export_settings.disabled_products.label|Exporter les produits inactifs
settings.lengow_export_settings.disabled_products.description|Activez cette option si vous souhaitez exporter les produits inactifs
settings.lengow_export_settings.lengow_selection.label|Exporter uniquement la sélection de produits
settings.lengow_export_settings.lengow_selection.description|Activez cette option si vous ne voulez pas exporter tous vos produits disponibles. Sélectionnez ensuite les produits un par un.
settings.lengow_export_settings.dispatcher.label|Transporteur par défaut
settings.lengow_export_settings.dispatcher.description|Sélectionnez un transporteur par défaut pour calculer les frais de livraison
settings.lengow_import_settings.label|Paramètres d'import
settings.lengow_import_settings.description|Toutes vos commandes sont centralisées sur votre plateforme Lengow : choisissez ici si vous voulez synchroniser et importer vos commandes dans votre backoffice Shopware. Vos stocks seront ainsi mis à jour dans votre backoffice Shopware.
settings.lengow_import_settings.ship_mp_enabled.label|Importer les commandes expédiées par les marketplaces
settings.lengow_import_settings.decrease_stock.label|Diminuer mon stock avec les commandes expédiées par les marketplaces
settings.lengow_import_settings.decrease_stock.description|Activez cette option pour prendre en compte les commandes des marketplaces sur les stocks de votre backoffice Shopware.
settings.lengow_import_settings.dispatcher.label|Transporteur par défaut
settings.lengow_import_settings.dispatcher.description|Sélectionnez le transporteur par défaut à appliquer à vos commandes.
settings.lengow_import_settings.import_days.label|Synchroniser toutes les commandes mises à jour depuis
settings.lengow_import_settings.import_days.description|Choisissez le nombre de jours (Max 10 jours)
settings.lengow_import_settings.debug_mode.label|Activer le Debug Mode
settings.lengow_import_settings.debug_mode.description|Utilisez le Debug Mode pour tester et simuler des commandes fictives. Pour rappel, vous devez activer ce paramètre UNIQUEMENT sur votre serveur de préproduction
settings.lengow_import_settings.report_mail_enabled.label|Je veux être notifié en cas de problème lors de l'importation de mes commandes
settings.lengow_import_settings.report_mail_address.label|Email à utiliser pour l'envoi des emails de rapport
settings.lengow_import_settings.report_mail_address.description|Email séparé par ;
settings.lengow_import_settings.currency_conversion_title.label|Convertir la devise de vos commandes
settings.lengow_import_settings.currency_conversion_title.description|Toutes les commandes importées dans Shopware seront automatiquement converties dans la devise choisie dans Lengow
settings.lengow_import_settings.import_btob.label|Activer l'import des commandes B2B sans taxes
settings.lengow_import_settings.import_btob.description|Activer cette option pour importer les commandes B2B sans taxes
settings.lengow_order_status_settings.label|Statut des commandes
settings.lengow_order_status_settings.description|Attribuez des statuts Lengow à vos commandes pour les retrouver facilement parmi l'ensemble de vos commandes.
settings.lengow_order_status_settings.id_waiting_shipment.label|Commandes en préparation
settings.lengow_order_status_settings.id_shipped.label|Commandes expédiées
settings.lengow_order_status_settings.id_canceled.label|Commandes annulées
settings.lengow_order_status_settings.id_shipped_by_mp.label|Commandes expédiées par les marketplaces
lengow_log.error.nb_order_imported|%{nb_order} commande(s) importée(s)
lengow_log.error.nb_order_updated|%{nb_order} commande(s) mise(s) à jour
lengow_log.error.nb_order_with_error|%{nb_order} commande(s) avec erreurs
lengow_log.error.no_notification|Pas de nouvelle notification sur vos commandes
lengow_log.error.rest_time_to_import|Attendez %{rest_time} secondes avant de synchroniser de nouveau vos commandes
lengow_log.error.credentials_not_valid|Votre identifiant de compte, votre jeton d'accès ou votre jeton secret ne sont pas valides
lengow_log.error.no_catalog_for_sales_channel|Aucun identifiant de catalogue valide pour le sales channel %{sales_channel_name} (%{sales_channel_id})
lengow_log.error.order_not_found|Erreur Lengow : la commande ne peut être trouvée dans le flux Lengow
lengow_log.error.no_product|Erreur Lengow : pas d'article dans cette commande
lengow_log.error.no_change_rate|Erreur Lengow : pas de taux de change valide à appliquer sur les prix
lengow_log.error.no_currency|Erreur Lengow : pas de devise dans cette commande
lengow_log.error.currency_not_available|la devise %{currency_iso} n'est pas disponible dans votre boutique
lengow_log.error.no_billing_address|Erreur Lengow : pas d'adresse de facturation dans cette commande
lengow_log.error.no_country_for_billing_address|Erreur Lengow : l'adresse de facturation ne contient pas de pays
lengow_log.error.no_country_for_delivery_address|Erreur Lengow : l'adresse de livraison ne contient pas de pays
lengow_log.exception.marketplace_not_present|Erreur Lengow : la marketplace %{marketplace_name} n’apparaît pas dans la liste des marketplaces
lengow_log.exception.no_connection_webservice|la connexion ne se fait pas avec Lengow pour le sales channel %{sales_channel_name} (%{sales_channel_id})
lengow_log.exception.error_lengow_webservice|l'API Lengow : %{error_code} - "%{error_message}" pour le sales channel %{sales_channel_name} (%{sales_channel_id})
lengow_log.exception.no_product_to_cart|il n'y a pas de produit ajouté au panier
lengow_log.exception.product_is_a_parent|le produit %{product_number} (%{product_id}) est un parent. Une variation du produit est nécessaire
lengow_log.exception.no_quantity_for_product|le produit %{product_number} (%{product_id}) ne peut être ajouté au panier. Vérifiez qu'il est bien disponible à la commande ou qu'il y a assez de stock
lengow_log.exception.product_not_be_found|le produit  %{product_id} ne peut être trouvé
lengow_log.exception.country_not_found|Aucun pays trouvé pour l'iso code %{iso_code}. Merci de l'ajouter dans votre configuration Shopware
lengow_log.exception.salutation_not_found|Aucune salutation trouvée dans votre système. Merci de l'ajouter dans votre configuration Shopware
lengow_log.exception.shopware_customer_not_saved|ATTENTION ! Le client n'a pas pu être sauvegardé dans la table user de Shopware
lengow_log.exception.shopware_order_not_saved|ATTENTION ! La commande n'a pas pu être sauvegardée dans la table order de Shopware
